Index Name,Date,Open,High,Low,Close
NIFTY 50,1622503860,102,108,98,105
NIFTY 50,1622503920,105,110,100,107
NIFTY 50,1622503980,107,112,102,105
NIFTY 50,1622504040,110,115,105,112
NIFTY 50,1622504100,105,115,105,112
NIFTY 50,1622504160,112,120,110,115
NIFTY 50,1622504220,115,122,112,118
NIFTY 50,1622504280,118,125,115,122
NIFTY 50,1622504340,122,128,118,125
NIFTY 50,1622504400,125,130,120,128
NIFTY 50,1622504460,128,135,125,132
NIFTY 50,1622504520,132,138,128,135
NIFTY 50,1622504580,135,140,130,138
NIFTY 50,1622504640,138,145,135,142
NIFTY 50,1622504700,142,148,138,145
NIFTY 50,1622504760,145,150,140,148
NIFTY 50,1622504820,148,155,145,152
NIFTY 50,1622504880,152,158,148,155
NIFTY 50,1622504940,155,160,150,158
NIFTY 50,1622505000,158,165,155,162
NIFTY 50,1622505060,162,168,158,165
NIFTY 50,1622505120,165,170,160,168
NIFTY 50,1622505180,168,175,165,172
NIFTY 50,1622505240,172,178,168,175
NIFTY 50,1622505300,175,180,170,178
NIFTY 50,1622505360,178,185,175,182
NIFTY 50,1622505420,182,188,178,185
NIFTY 50,1622505480,185,190,180,188
NIFTY 50,1622505540,188,195,185,192
NIFTY 50,1622505600,192,198,188,195
NIFTY 50,1622505660,195,200,190,198
NIFTY 50,1622505720,198,205,195,202
NIFTY 50,1622505780,202,208,198,205
NIFTY 50,1622505840,205,210,200,208
